name,total_budget,total_revenue,total_return
Steven Spielberg,1736950000.0,9256621422.0,5.329238850859265
Michael Bay,1670000000.0,6437466781.0,3.8547705275449102
Ridley Scott,1641900000.0,3917529240.0,2.385973104330349
Peter Jackson,1327425710.0,6528244659.0,4.917973646148529
Ron Howard,1285000000.0,3714152341.0,2.890390926848249
Tim Burton,1264176000.0,4032916124.0,3.190154000708762
Gore Verbinski,1233000000.0,3575339236.0,2.899707409570154
Roland Emmerich,1182100000.0,3798402596.0,3.2132667253193468
Bryan Singer,1173000000.0,2808235001.0,2.394062234441603
Robert Zemeckis,1165700000.0,4138233542.0,3.549998749249378
David Yates,1135000000.0,5334563196.0,4.700055679295154
Christopher Nolan,1105006000.0,4747408665.0,4.296274106203948
Martin Scorsese,992855000.0,1990982842.0,2.00531078757724
Sam Raimi,952951600.0,3193788606.0,3.3514699025637817
Clint Eastwood,904225000.0,3100675162.0,3.429096919461417
Brett Ratner,866700000.0,2016457826.0,2.3265926225914386
Zack Snyder,860000000.0,2476197387.0,2.879299287209302
Barry Sonnenfeld,835250000.0,2397846668.0,2.870813131397785
Tony Scott,821500000.0,2129613122.0,2.5923470748630555
Renny Harlin,808300000.0,1090000590.0,1.34850994680193
Jon Favreau,791000000.0,2639644492.0,3.337097967130215
Martin Campbell,788000000.0,1869684952.0,2.3726966395939084
J.J. Abrams,785000000.0,3579215315.0,4.559509955414013
Steven Soderbergh,776000000.0,2161475163.0,2.7854061378865977
Peter Berg,769000000.0,1487418365.0,1.9342241417425228
Lilly Wachowski,765500003.0,2042532969.0,2.6682337831421274
Lana Wachowski,765500003.0,2042532969.0,2.6682337831421274
James Cameron,760045786.0,5900610310.0,7.763493224604234
Andrew Stanton,734000000.0,2774357385.0,3.779778453678474
Wolfgang Petersen,733000000.0,1815827693.0,2.477254697135061
Luc Besson,718671676.0,780841290.0,1.0865062810684638
Oliver Stone,711350000.0,1372859654.0,1.929935550713432
Francis Lawrence,703000000.0,3183341910.0,4.528224623044097
Shawn Levy,702800000.0,2218587063.0,3.1567829581673306
M. Night Shyamalan,682000000.0,2729276928.0,4.001872328445748
Paul W.S. Anderson,671000000.0,1614104366.0,2.4055206646795826
Joel Schumacher,668500000.0,1547386531.0,2.3147143320867616
John Woo,668341000.0,1448068797.0,2.166661624829241
Michael Mann,668000000.0,1040945457.0,1.5583015823353294
Justin Lin,666000000.0,2297418890.0,3.449577912912913
Sam Mendes,664000000.0,2713548809.0,4.08666989307229
David Fincher,650000000.0,2139346325.0,3.2913020384615383
Joe Johnston,649000000.0,1408646142.0,2.170487121725732
Brad Bird,647000000.0,2182191917.0,3.372785034003092
Rob Marshall,640000000.0,1781461383.0,2.7835334109375
Chris Columbus,627000000.0,3866836869.0,6.167203937799043
Tom McGrath,625000000.0,2704204415.0,4.326727064
Antoine Fuqua,623000000.0,1145941613.0,1.8393926372391651
Jon Turteltaub,616000000.0,1713159053.0,2.781102358766234
Andrew Adamson,615000000.0,2606859447.0,4.238795848780488
Richard Donner,606800000.0,1738179826.0,2.864502020435069
Rob Cohen,603000000.0,1418573743.0,2.352526936981758
Rob Minkoff,593000000.0,1844585423.0,3.1105993642495786
Stephen Sommers,591500000.0,1462828280.0,2.47308246830093
Brian De Palma,579800000.0,1058374781.0,1.825413558123491
McG,570000000.0,1147752254.0,2.0136004456140357
Dennis Dugan,562200000.0,1617049935.0,2.876289461045891
John Musker,562000000.0,2037346216.0,3.625171202846975
Eric Darnell,562000000.0,2428812256.0,4.321729992882562
Ron Clements,562000000.0,2037346216.0,3.625171202846975
John Lasseter,560000000.0,2256015306.0,4.028598760714286
Byron Howard,560000000.0,1925559125.0,3.4384984375
Marc Forster,559500000.0,1417431076.0,2.5333888757819483
John McTiernan,551278264.0,1170400300.0,2.123066292343425
Edward Zwick,545000000.0,1393040007.0,2.556036710091743
F. Gary Gray,542500000.0,1997092180.0,3.6812759078341015
Joss Whedon,539200000.0,2963831071.0,5.49671934532641
Barry Levinson,510000000.0,1232648488.0,2.416957819607843
Guy Ritchie,504350000.0,1226756955.0,2.432352443739467
James Mangold,502000000.0,1685749738.0,3.358067207171315
Robert Schwentke,502000000.0,932415622.0,1.8574016374501991
Bill Condon,498000000.0,3017298095.0,6.058831516064257
George Miller,494705523.0,1244067142.0,2.514762993660776
Guillermo del Toro,493500000.0,1012197546.0,2.051058857142857
Conrad Vernon,489000000.0,2188975224.0,4.4764319509202455
Peter Farrelly,489000000.0,1498423537.0,3.0642608118609407
Mike Newell,488000000.0,1546649487.0,3.1693637028688526
Louis Leterrier,483000000.0,719274720.0,1.4891816149068322
Bobby Farrelly,483000000.0,1465984549.0,3.0351646977225677
Tom Shadyac,479000000.0,1450885493.0,3.028988503131524
Joe Russo,475200000.0,1998502435.0,4.205602767255892
Anthony Russo,475200000.0,1998502435.0,4.205602767255892
Simon West,470000000.0,1081139200.0,2.300296170212766
Walter Hill,466200000.0,480185685.0,1.0299993243243244
Peter Segal,466000000.0,1065231202.0,2.28590386695279
Pete Docter,465000000.0,2155526512.0,4.635540886021506
Phillip Noyce,463000000.0,1182588918.0,2.554187727861771
Mike Mitchell,462000000.0,1608859270.0,3.482379372294372
Doug Liman,461700000.0,1343963661.0,2.910902449642625
Jan de Bont,457000000.0,1257122028.0,2.750814065645514
Ivan Reitman,452000000.0,1614363305.0,3.571600232300885
Raja Gosnell,451000000.0,1927218578.0,4.2732119246119735
Michael Apted,448000000.0,1084932005.0,2.4217232254464287
Peter Hyams,446000000.0,538210170.0,1.206749260089686
Todd Phillips,443000000.0,1768627970.0,3.9923881941309256
Robert Rodriguez,440220000.0,1089161684.0,2.474130398437145
Carlos Saldanha,438000000.0,2793148786.0,6.37705202283105
Paul Greengrass,435000000.0,1413751482.0,3.2500034068965515
Rob Reiner,431500000.0,958876901.0,2.22219444032445
